imdbID,movieTitle,sceneAddress,sceneDescription,sceneLat,sceneLon
tt1201607,Harry Potter and the Deathly Hallows: Part 2,"Freshwater West, Pembrokeshire, Wales, UK",beach scenes,51.6590448,-5.0695866
tt1201607,Harry Potter and the Deathly Hallows: Part 2,"St. Pancras Station, St. Pancras, London, England, UK",Station exterior,51.5311161,-0.1283929
tt1201607,Harry Potter and the Deathly Hallows: Part 2,"Leavesden Studios, Leavesden, Hertfordshire, England, UK",,51.692947,-0.422641
tt1201607,Harry Potter and the Deathly Hallows: Part 2,"England, UK",,52.8203968,-4.5698654
tt1201607,Harry Potter and the Deathly Hallows: Part 2,"Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",,51.5474956,-0.5368436
tt0317740,The Italian Job,"Canazei, Trento, Trentino - Alto Adige, Italy",,46.4789356,11.7813653
tt0317740,The Italian Job,"Campo San Barnaba, Venice, Veneto, Italy",,45.4330435,12.3228206
tt0317740,The Italian Job,"Winnipeg, Manitoba, Canada",,49.853959,-97.2923062
tt1194173,The Bourne Legacy,"El Nido, Palawan, Philippines",ending scene,11.2098821,119.2637938
